FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
60	2	0.2693	45.13	0	0.35	1.59	4.69
5	4	0.1068	23.08	58.75	3.16	4.31	6.73
6	4	0.1233	26.45	52.6	2.91	4.11	6.56
7	4	0.1361	28.81	43.56	2.64	3.83	6.37
8	4	0.1416	29.72	39.74	2.52	3.71	6.27
9	4	0.1454	30.28	37.09	2.43	3.62	6.2
10	4	0.1493	30.84	34.48	2.35	3.54	6.13
12	4	0.1563	31.83	29.7	2.18	3.38	5.99
14	4	0.1634	32.79	25.01	2.01	3.21	5.84
16	4	0.1703	33.72	20.61	1.84	3.04	5.7
18	4	0.1771	34.61	16.51	1.67	2.87	5.55
20	4	0.1841	35.5	12.66	1.51	2.71	5.41
25	4	0.1999	37.46	4.8	1.17	2.36	5.11
30	4	0.2146	39.13	0.78	0.92	2.09	4.89
35	4	0.2289	40.62	0	0.73	1.89	4.72
40	4	0.2439	41.99	0	0.56	1.71	4.57
45	4	0.2532	42.95	0	0.45	1.58	4.47
50	4	0.2603	43.89	0	0.35	1.48	4.39
55	4	0.2672	44.79	0	0.27	1.39	4.32
60	4	0.2738	45.66	0	0.19	1.3	4.26
5	6	0.1066	23.04	56.8	3.05	4.11	6.39
6	6	0.1233	26.47	50.54	2.79	3.89	6.2
7	6	0.1368	28.92	41.08	2.49	3.59	5.98
8	6	0.1437	30.01	36.46	2.34	3.43	5.86
9	6	0.148	30.63	33.55	2.24	3.33	5.77
10	6	0.1521	31.22	30.84	2.14	3.24	5.69
12	6	0.1595	32.23	25.92	1.97	3.06	5.54
14	6	0.1669	33.23	21.14	1.78	2.88	5.38
16	6	0.1746	34.23	16.57	1.59	2.69	5.21
18	6	0.1816	35.14	12.56	1.42	2.52	5.06
20	6	0.1884	36	9.04	1.28	2.37	4.93
25	6	0.2049	37.98	2.07	0.94	2.02	4.63
30	6	0.2209	39.71	0	0.71	1.77	4.42
35	6	0.2375	41.27	0	0.52	1.55	4.25
40	6	0.2499	42.44	0	0.39	1.4	4.13
45	6	0.2574	43.44	0	0.28	1.29	4.04
50	6	0.2649	44.43	0	0.19	1.19	3.96
55	6	0.2691	45.07	0	0.16	1.15	3.94
60	6	0.2733	45.82	0	0.15	1.13	3.94
5	8	0.1046	22.62	55.31	2.97	3.93	6.06
6	8	0.1228	26.37	48.91	2.68	3.69	5.85
7	8	0.1367	28.9	39.18	2.36	3.36	5.61
8	8	0.1461	30.34	32.98	2.15	3.14	5.43
9	8	0.151	31.03	29.83	2.04	3.03	5.33
10	8	0.1554	31.63	26.97	1.93	2.92	5.24
12	8	0.1634	32.73	21.8	1.73	2.72	5.06
14	8	0.1713	33.77	16.96	1.53	2.52	4.89
16	8	0.1791	34.77	12.54	1.34	2.33	4.72
18	8	0.1863	35.69	8.77	1.19	2.17	4.58
20	8	0.1939	36.61	5.12	1.03	2	4.43
25	8	0.2116	38.56	0.46	0.72	1.68	4.16
30	8	0.2272	40.25	0	0.51	1.45	3.97
35	8	0.2432	41.8	0	0.34	1.25	3.81
40	8	0.2541	42.95	0	0.22	1.11	3.7
45	8	0.2599	43.76	0	0.17	1.05	3.65
50	8	0.2643	44.58	0	0.15	1.03	3.65
55	8	0.2682	45.27	0	0.15	1.01	3.65
60	8	0.2731	46.13	0	0.13	0.99	3.65
5	10	0.1049	22.69	53.23	2.85	3.73	5.72
6	10	0.123	26.41	46.75	2.56	3.47	5.5
7	10	0.1369	28.94	37	2.23	3.13	5.24
8	10	0.148	30.6	29.85	1.97	2.86	5.01
9	10	0.1546	31.5	25.79	1.81	2.71	4.88
10	10	0.1583	32.01	23.31	1.72	2.61	4.79
12	10	0.167	33.16	17.92	1.5	2.39	4.6
14	10	0.1759	34.32	12.78	1.28	2.17	4.4
16	10	0.1841	35.34	8.54	1.1	1.98	4.23
18	10	0.192	36.32	4.67	0.93	1.8	4.08
20	10	0.1997	37.23	1.95	0.78	1.64	3.94
25	10	0.2175	39.11	0	0.52	1.36	3.7
30	10	0.2349	40.79	0	0.33	1.13	3.52
35	10	0.25	42.32	0	0.17	0.95	3.37
40	10	0.2544	43.09	0	0.16	0.93	3.37
45	10	0.2592	43.94	0	0.15	0.91	3.36
50	10	0.2643	44.84	0	0.14	0.89	3.36
55	10	0.2705	45.7	0.01	0.13	0.86	3.36
60	10	0.2774	46.55	0	0.12	0.84	3.35
5	12	0.1047	22.65	51.28	2.75	3.54	5.39
6	12	0.1231	26.42	44.73	2.44	3.26	5.14
7	12	0.137	28.95	34.97	2.09	2.9	4.87
8	12	0.1496	30.81	26.92	1.79	2.59	4.6
9	12	0.1581	31.94	21.82	1.59	2.39	4.42
10	12	0.1623	32.51	19.12	1.48	2.27	4.32
12	12	0.1716	33.73	13.62	1.25	2.03	4.1
14	12	0.1814	34.95	8.54	1.03	1.8	3.9
16	12	0.1899	36	4.34	0.84	1.61	3.73
18	12	0.1981	36.99	1.53	0.68	1.44	3.58
20	12	0.2057	37.84	0.36	0.56	1.31	3.47
25	12	0.2247	39.83	0	0.32	1.03	3.24
30	12	0.2416	41.39	0	0.18	0.85	3.1
35	12	0.249	42.42	0	0.17	0.82	3.09
40	12	0.2547	43.4	0.01	0.15	0.8	3.09
45	12	0.2607	44.45	0	0.14	0.77	3.08
50	12	0.2688	45.43	0.1	0.13	0.74	3.07
55	12	0.2778	46.57	0.61	0.11	0.71	3.06
60	12	0.2846	47.33	1.15	0.1	0.68	3.06
5	-12	0.115	24.76	72.67	3.97	5.89	9.45
6	-12	0.1253	26.84	67.17	3.85	5.8	9.41
7	-12	0.1283	27.44	64.81	3.8	5.76	9.4
8	-12	0.1305	27.86	63.08	3.77	5.73	9.38
9	-12	0.1335	28.44	60.71	3.72	5.68	9.36
10	-12	0.1362	28.92	58.67	3.68	5.64	9.34
12	-12	0.1415	29.85	54.56	3.58	5.56	9.29
14	-12	0.1468	30.69	50.55	3.49	5.48	9.23
16	-12	0.152	31.45	46.65	3.39	5.39	9.16
18	-12	0.1566	32.08	43.18	3.3	5.31	9.09
20	-12	0.1616	32.79	39.48	3.19	5.21	9.02
25	-12	0.1739	34.5	30.77	2.92	4.96	8.81
30	-12	0.1859	36.1	23.02	2.64	4.7	8.59
35	-12	0.198	37.65	16.14	2.36	4.43	8.38
40	-12	0.209	38.98	10.59	2.14	4.22	8.2
45	-12	0.22	40.62	5.52	1.9	4	8.02
50	-12	0.2336	41.5	2.3	1.72	3.81	7.87
55	-12	0.2411	42.33	0.71	1.59	3.68	7.77
60	-12	0.2499	43.04	0.03	1.47	3.57	7.68
5	-10	0.1146	24.67	70.78	3.86	5.68	9.11
6	-10	0.1258	26.95	64.76	3.72	5.58	9.06
7	-10	0.1294	27.64	62.03	3.66	5.53	9.03
8	-10	0.1322	28.16	59.92	3.62	5.48	9.01
9	-10	0.135	28.69	57.75	3.57	5.44	8.99
10	-10	0.1373	29.09	55.93	3.53	5.4	8.96
12	-10	0.1434	30.13	51.38	3.42	5.3	8.89
14	-10	0.1489	30.96	47.3	3.32	5.21	8.82
16	-10	0.1539	31.65	43.63	3.22	5.12	8.75
18	-10	0.1592	32.4	39.72	3.11	5.02	8.67
20	-10	0.1644	33.13	35.97	2.99	4.92	8.59
25	-10	0.1772	34.88	27.27	2.7	4.64	8.36
30	-10	0.1896	36.52	19.61	2.41	4.37	8.13
35	-10	0.2017	38.1	13.07	2.14	4.11	7.92
40	-10	0.2134	39.45	7.54	1.91	3.88	7.73
45	-10	0.2266	40.71	3.21	1.7	3.67	7.56
50	-10	0.2358	41.91	1.08	1.53	3.51	7.43
55	-10	0.2468	42.63	0.17	1.4	3.38	7.33
60	-10	0.2537	43.33	0	1.3	3.28	7.25
5	-8	0.1132	24.38	69.14	3.76	5.49	8.77
6	-8	0.1267	27.1	62.18	3.59	5.35	8.69
7	-8	0.1305	27.84	59.29	3.52	5.29	8.66
8	-8	0.1336	28.41	56.96	3.47	5.24	8.63
9	-8	0.1365	28.94	54.73	3.42	5.19	8.6
10	-8	0.1394	29.44	52.54	3.36	5.14	8.57
12	-8	0.1453	30.4	48.16	3.25	5.04	8.49
14	-8	0.1512	31.25	43.95	3.14	4.93	8.41
16	-8	0.1564	31.98	40.13	3.03	4.83	8.33
18	-8	0.1619	32.74	36.2	2.91	4.72	8.24
20	-8	0.1673	33.49	32.42	2.79	4.61	8.15
25	-8	0.1806	35.28	23.74	2.48	4.32	7.9
30	-8	0.1934	36.96	16.2	2.18	4.03	7.66
35	-8	0.2059	38.52	9.97	1.92	3.78	7.45
40	-8	0.2187	39.69	4.66	1.7	3.55	7.27
45	-8	0.23	41.1	1.56	1.49	3.36	7.11
50	-8	0.2417	42.25	0.31	1.34	3.2	6.98
55	-8	0.2506	42.94	0	1.23	3.08	6.89
60	-8	0.257	43.72	0	1.12	2.98	6.81
5	-6	0.1125	24.24	67.31	3.65	5.29	8.42
6	-6	0.127	27.17	59.94	3.46	5.13	8.33
7	-6	0.132	28.1	56.3	3.37	5.04	8.28
8	-6	0.135	28.67	53.97	3.31	4.99	8.25
9	-6	0.1382	29.22	51.63	3.25	4.93	8.21
10	-6	0.1413	29.74	49.33	3.19	4.88	8.17
12	-6	0.1475	30.69	44.86	3.07	4.76	8.08
14	-6	0.1535	31.56	40.54	2.95	4.65	7.99
16	-6	0.159	32.31	36.61	2.83	4.54	7.9
18	-6	0.1648	33.1	32.62	2.7	4.42	7.8
20	-6	0.1707	33.93	28.66	2.57	4.29	7.69
25	-6	0.1843	35.71	20.18	2.25	3.98	7.43
30	-6	0.1977	37.46	12.85	1.95	3.69	7.19
35	-6	0.2106	38.92	6.82	1.69	3.44	6.98
40	-6	0.2239	40.29	2.47	1.47	3.21	6.79
45	-6	0.2369	41.56	0.52	1.29	3.03	6.65
50	-6	0.2465	42.51	0	1.16	2.9	6.54
55	-6	0.2542	43.3	0	1.05	2.78	6.45
60	-6	0.2604	44.12	0	0.94	2.68	6.38
5	-4	0.1117	24.08	65.51	3.55	5.09	8.08
6	-4	0.1272	27.2	57.84	3.33	4.91	7.97
7	-4	0.1334	28.34	53.36	3.22	4.8	7.9
8	-4	0.1365	28.91	51	3.16	4.74	7.86
9	-4	0.1399	29.48	48.55	3.09	4.67	7.81
10	-4	0.1433	30.03	46.07	3.02	4.61	7.77
12	-4	0.1499	31	41.46	2.89	4.48	7.66
14	-4	0.1558	31.83	37.27	2.76	4.37	7.57
16	-4	0.1619	32.67	33.02	2.63	4.24	7.46
18	-4	0.1679	33.49	28.99	2.49	4.1	7.35
20	-4	0.1738	34.28	25.17	2.35	3.97	7.23
25	-4	0.1882	36.17	16.6	2.01	3.64	6.95
30	-4	0.2021	37.91	9.57	1.72	3.35	6.71
35	-4	0.2154	39.45	3.68	1.46	3.09	6.49
40	-4	0.2281	40.82	1	1.26	2.89	6.33
45	-4	0.2411	42.01	0	1.1	2.72	6.2
50	-4	0.2514	42.86	0	0.97	2.59	6.09
55	-4	0.2578	43.71	0	0.87	2.48	6.01
60	-4	0.2638	44.51	0	0.77	2.39	5.94
5	-2	0.111	23.93	63.69	3.44	4.89	7.74
6	-2	0.1272	27.2	55.83	3.21	4.69	7.6
7	-2	0.135	28.62	50.27	3.06	4.54	7.51
8	-2	0.1385	29.23	47.71	2.99	4.47	7.46
9	-2	0.142	29.82	45.19	2.91	4.4	7.41
10	-2	0.1455	30.33	42.74	2.84	4.33	7.35
12	-2	0.1524	31.33	37.96	2.7	4.19	7.24
14	-2	0.1586	32.19	33.65	2.56	4.06	7.13
16	-2	0.165	33.06	29.35	2.41	3.92	7.01
18	-2	0.1715	33.95	25.14	2.26	3.77	6.88
20	-2	0.1775	34.73	21.45	2.12	3.64	6.76
25	-2	0.1927	36.68	12.99	1.77	3.29	6.47
30	-2	0.207	38.41	6.21	1.48	3	6.23
35	-2	0.2207	39.9	1.72	1.24	2.76	6.02
40	-2	0.235	41.25	0.2	1.06	2.56	5.87
45	-2	0.2469	42.39	0	0.91	2.41	5.75
50	-2	0.2549	43.28	0	0.79	2.29	5.65
55	-2	0.2614	44.14	0	0.69	2.19	5.57
60	-2	0.2678	44.98	0	0.61	2.1	5.5
5	0	0.1104	23.8	61.85	3.34	4.69	7.39
6	0	0.1271	27.18	53.89	3.08	4.47	7.24
7	0	0.1364	28.86	47.36	2.9	4.28	7.12
8	0	0.1405	29.55	44.43	2.81	4.2	7.05
9	0	0.1442	30.12	41.82	2.74	4.12	6.99
10	0	0.1479	30.66	39.29	2.66	4.05	6.93
12	0	0.1551	31.68	34.39	2.5	3.9	6.8
14	0	0.1616	32.57	29.95	2.35	3.75	6.68
16	0	0.1684	33.48	25.58	2.19	3.6	6.55
18	0	0.175	34.35	21.49	2.04	3.45	6.41
20	0	0.1815	35.2	17.68	1.88	3.29	6.28
25	0	0.1973	37.18	9.49	1.54	2.95	5.99
30	0	0.2123	38.92	3.12	1.25	2.65	5.74
35	0	0.2264	40.42	0.5	1.03	2.43	5.56
40	0	0.2402	41.84	0	0.86	2.24	5.41
45	0	0.2518	42.8	0	0.73	2.1	5.3
50	0	0.2588	43.74	0	0.62	1.99	5.21
55	0	0.2656	44.62	0	0.52	1.89	5.13
60	0	0.2722	45.49	0	0.44	1.8	5.07
5	2	0.1077	23.25	60.53	3.26	4.51	7.07
6	2	0.1236	26.52	54.35	3.03	4.32	6.92
7	2	0.1367	28.91	45.14	2.76	4.05	6.74
8	2	0.1427	29.87	41.04	2.63	3.92	6.64
9	2	0.1463	30.4	38.57	2.56	3.85	6.58
10	2	0.1504	31.01	35.79	2.47	3.76	6.5
12	2	0.1578	32.01	30.88	2.3	3.6	6.36
14	2	0.165	32.99	26.13	2.13	3.43	6.22
16	2	0.1722	33.94	21.71	1.96	3.26	6.07
18	2	0.1792	34.84	17.61	1.79	3.1	5.93
20	2	0.1862	35.75	13.75	1.63	2.93	5.79
25	2	0.2025	37.74	5.9	1.3	2.59	5.5
30	2	0.218	39.45	1.19	1.03	2.31	5.27
35	2	0.2327	40.96	0	0.83	2.1	5.1
40	2	0.2474	42.28	0	0.67	1.92	4.95
45	2	0.2558	43.28	0	0.55	1.8	4.85
50	2	0.2631	44.24	0	0.45	1.69	4.77
55	2	0.2702	45.16	0	0.36	1.6	4.7
60	2	0.2771	46.06	0	0.28	1.51	4.63
5	4	0.1075	23.21	58.59	3.15	4.31	6.72
6	4	0.1237	26.53	52.3	2.9	4.1	6.56
7	4	0.1376	29.06	42.55	2.61	3.8	6.35
8	4	0.1451	30.19	37.62	2.45	3.64	6.22
9	4	0.1495	30.83	34.7	2.35	3.55	6.14
10	4	0.1538	31.43	31.9	2.26	3.45	6.05
12	4	0.1611	32.43	27.02	2.08	3.28	5.91
14	4	0.1688	33.46	22.19	1.9	3.1	5.75
16	4	0.1767	34.48	17.59	1.71	2.91	5.59
18	4	0.1837	35.39	13.63	1.54	2.74	5.44
20	4	0.191	36.29	10.01	1.39	2.58	5.31
25	4	0.2081	38.31	2.7	1.05	2.23	5.01
30	4	0.2257	40.2	0.13	0.8	1.96	4.78
35	4	0.2405	41.58	0	0.62	1.77	4.63
40	4	0.2525	42.77	0	0.48	1.61	4.5
45	4	0.2603	43.81	0	0.37	1.5	4.41
50	4	0.268	44.81	0	0.28	1.39	4.33
55	4	0.2753	45.76	0	0.19	1.3	4.26
60	4	0.2801	46.53	0	0.16	1.26	4.24
5	6	0.1072	23.15	56.66	3.04	4.11	6.38
6	6	0.1237	26.54	50.26	2.78	3.88	6.2
7	6	0.1377	29.07	40.48	2.47	3.57	5.97
8	6	0.1478	30.57	33.99	2.26	3.35	5.79
9	6	0.1526	31.24	30.92	2.15	3.24	5.69
10	6	0.1569	31.83	28.1	2.04	3.14	5.61
12	6	0.1649	32.9	23.01	1.85	2.95	5.44
14	6	0.1731	33.98	18.1	1.65	2.75	5.26
16	6	0.1811	35	13.61	1.46	2.55	5.09
18	6	0.1889	35.98	9.67	1.3	2.38	4.95
20	6	0.1964	36.9	6.11	1.14	2.22	4.81
25	6	0.2142	38.91	0.81	0.83	1.89	4.53
30	6	0.2312	40.63	0	0.61	1.65	4.33
35	6	0.2483	42.22	0	0.43	1.44	4.17
40	6	0.2579	43.42	0	0.3	1.3	4.06
45	6	0.2655	44.43	0	0.2	1.2	3.97
50	6	0.2708	45.21	0	0.16	1.15	3.94
55	6	0.2751	46.03	0	0.15	1.13	3.94
60	6	0.2797	46.88	0	0.14	1.11	3.94
5	8	0.1029	22.26	55.75	2.99	3.95	6.08
6	8	0.1217	26.15	49.71	2.7	3.72	5.87
7	8	0.1354	28.69	40.01	2.39	3.39	5.63
8	8	0.1483	30.64	31.68	2.1	3.1	5.39
9	8	0.1559	31.67	27.01	1.93	2.92	5.24
10	8	0.1602	32.25	24.26	1.83	2.82	5.15
12	8	0.1692	33.45	18.78	1.61	2.6	4.95
14	8	0.178	34.57	13.81	1.39	2.38	4.76
16	8	0.1869	35.68	9.35	1.2	2.18	4.59
18	8	0.1951	36.68	5.48	1.03	2.01	4.44
20	8	0.2029	37.58	2.5	0.88	1.85	4.3
25	8	0.2215	39.56	0	0.61	1.55	4.06
30	8	0.2401	41.29	0	0.4	1.31	3.86
35	8	0.2535	42.79	0	0.25	1.14	3.72
40	8	0.261	43.79	0	0.17	1.04	3.65
45	8	0.2659	44.69	0	0.15	1.02	3.65
50	8	0.271	45.63	0	0.14	1	3.65
55	8	0.277	46.58	0	0.13	0.98	3.65
60	8	0.2848	47.59	0	0.11	0.95	3.64
5	10	0.1054	22.79	53.11	2.85	3.73	5.72
6	10	0.1234	26.47	46.53	2.55	3.46	5.49
7	10	0.1373	29	36.77	2.22	3.12	5.23
8	10	0.1506	30.94	28.37	1.91	2.81	4.97
9	10	0.16	32.18	22.78	1.7	2.59	4.77
10	10	0.1645	32.79	19.96	1.58	2.47	4.67
12	10	0.1741	34.04	14.4	1.35	2.23	4.46
14	10	0.1842	35.28	9.3	1.13	2	4.26
16	10	0.1934	36.39	4.99	0.93	1.8	4.08
18	10	0.2019	37.39	1.97	0.77	1.63	3.93
20	10	0.2102	38.3	0.48	0.64	1.49	3.81
25	10	0.2297	40.3	0	0.4	1.21	3.58
30	10	0.2493	42.16	0	0.2	0.98	3.4
35	10	0.2558	43.22	0	0.16	0.93	3.37
40	10	0.2613	44.18	0	0.15	0.9	3.37
45	10	0.2675	45.3	0	0.14	0.88	3.36
50	10	0.2755	46.34	0	0.12	0.85	3.36
55	10	0.2847	47.55	0.05	0.11	0.82	3.35
60	10	0.2916	48.43	0.38	0.1	0.79	3.34
5	12	0.1051	22.73	51.17	2.74	3.53	5.38
6	12	0.1234	26.47	44.53	2.43	3.25	5.14
7	12	0.1373	29	34.77	2.09	2.89	4.86
8	12	0.1517	31.1	25.7	1.75	2.54	4.56
9	12	0.1644	32.73	18.43	1.45	2.24	4.29
10	12	0.1696	33.42	15.37	1.32	2.11	4.17
12	12	0.181	34.84	9.45	1.06	1.84	3.93
14	12	0.1911	36.07	4.66	0.85	1.61	3.74
16	12	0.2006	37.18	1.48	0.67	1.42	3.57
18	12	0.2097	38.16	0.27	0.53	1.27	3.44
20	12	0.2222	39.37	0.01	0.38	1.1	3.3
25	12	0.241	41.26	0	0.18	0.86	3.1
30	12	0.2502	42.54	0	0.16	0.82	3.09
35	12	0.2569	43.68	0	0.15	0.79	3.09
40	12	0.2653	45.08	0	0.13	0.76	3.09
45	12	0.274	46.15	0.38	0.12	0.73	3.08
50	12	0.2848	47.49	1.34	0.1	0.69	3.07
55	12	0.2936	48.64	2.45	0.09	0.65	3.06
60	12	0.3026	49.76	3.85	0.08	0.62	3.04
5	-12	0.1152	24.8	72.62	3.96	5.89	9.45
6	-12	0.1265	27.08	66.27	3.83	5.78	9.41
7	-12	0.1297	27.7	63.82	3.78	5.74	9.39
8	-12	0.1325	28.23	61.67	3.74	5.7	9.37
9	-12	0.1353	28.74	59.53	3.7	5.66	9.35
10	-12	0.1382	29.25	57.35	3.65	5.62	9.33
12	-12	0.1438	30.19	53.11	3.55	5.53	9.27
14	-12	0.1495	31.04	48.96	3.45	5.44	9.2
16	-12	0.1549	31.82	44.94	3.35	5.35	9.13
18	-12	0.1602	32.57	41.07	3.24	5.25	9.05
20	-12	0.1654	33.3	37.33	3.13	5.15	8.97
25	-12	0.1779	34.95	28.96	2.85	4.9	8.76
30	-12	0.1904	36.6	21.32	2.56	4.63	8.54
35	-12	0.203	38.16	14.69	2.29	4.37	8.33
40	-12	0.2146	39.48	9.29	2.07	4.15	8.15
45	-12	0.2267	40.74	4.4	1.85	3.94	7.98
50	-12	0.2376	41.99	1.7	1.67	3.76	7.84
55	-12	0.2475	42.75	0.51	1.54	3.63	7.74
60	-12	0.2548	43.47	0	1.43	3.53	7.66
5	-10	0.1141	24.57	70.9	3.86	5.69	9.11
6	-10	0.1271	27.18	63.9	3.7	5.56	9.05
7	-10	0.131	27.92	60.98	3.64	5.5	9.02
8	-10	0.1339	28.48	58.72	3.59	5.46	9
9	-10	0.1369	29.01	56.46	3.54	5.41	8.97
10	-10	0.1399	29.52	54.22	3.49	5.36	8.94
12	-10	0.1458	30.47	49.83	3.38	5.27	8.87
14	-10	0.1518	31.34	45.59	3.27	5.17	8.79
16	-10	0.1573	32.13	41.52	3.16	5.07	8.71
18	-10	0.1624	32.81	37.89	3.05	4.97	8.63
20	-10	0.1679	33.56	34.11	2.93	4.86	8.54
25	-10	0.1814	35.37	25.42	2.63	4.57	8.31
30	-10	0.1943	37.05	17.9	2.33	4.29	8.07
35	-10	0.2071	38.59	11.61	2.07	4.04	7.87
40	-10	0.2193	40.02	6.24	1.84	3.81	7.68
45	-10	0.2315	41.34	2.51	1.63	3.61	7.52
50	-10	0.2433	42.37	0.65	1.47	3.45	7.39
55	-10	0.252	43.07	0	1.35	3.33	7.3
60	-10	0.258	43.84	0	1.25	3.23	7.22
5	-8	0.1134	24.42	69.09	3.76	5.49	8.77
6	-8	0.1272	27.2	61.83	3.58	5.34	8.69
7	-8	0.1323	28.15	58.09	3.5	5.26	8.65
8	-8	0.1355	28.73	55.69	3.44	5.21	8.62
9	-8	0.1386	29.29	53.35	3.38	5.16	8.58
10	-8	0.1418	29.82	51.02	3.32	5.1	8.54
12	-8	0.148	30.77	46.52	3.21	5	8.46
14	-8	0.1541	31.64	42.18	3.09	4.89	8.37
16	-8	0.1596	32.38	38.29	2.97	4.78	8.29
18	-8	0.1654	33.18	34.29	2.85	4.67	8.19
20	-8	0.1715	34.03	30.25	2.71	4.54	8.09
25	-8	0.1851	35.81	21.84	2.4	4.24	7.84
30	-8	0.1989	37.58	14.42	2.09	3.95	7.6
35	-8	0.2117	39.1	8.42	1.84	3.7	7.39
40	-8	0.2243	40.52	3.46	1.61	3.47	7.2
45	-8	0.2371	41.85	1.07	1.42	3.28	7.05
50	-8	0.2481	42.64	0.11	1.29	3.14	6.95
55	-8	0.256	43.52	0	1.17	3.02	6.85
60	-8	0.2614	44.25	0	1.07	2.93	6.78
5	-6	0.1073	23.17	68.64	3.71	5.32	8.45
6	-6	0.126	26.97	60.69	3.47	5.14	8.34
7	-6	0.1336	28.38	55.21	3.35	5.02	8.27
8	-6	0.1371	29.01	52.59	3.28	4.96	8.23
9	-6	0.1405	29.58	50.14	3.22	4.9	8.19
10	-6	0.1438	30.1	47.78	3.15	4.84	8.14
12	-6	0.1504	31.09	43.1	3.02	4.72	8.05
14	-6	0.1564	31.89	38.94	2.9	4.61	7.95
16	-6	0.1625	32.75	34.67	2.77	4.48	7.85
18	-6	0.1686	33.58	30.62	2.63	4.35	7.74
20	-6	0.1746	34.37	26.81	2.5	4.22	7.64
25	-6	0.1892	36.27	18.23	2.16	3.9	7.37
30	-6	0.2034	38.05	11.12	1.87	3.61	7.13
35	-6	0.2175	39.55	5.24	1.61	3.35	6.91
40	-6	0.23	40.95	1.58	1.39	3.14	6.74
45	-6	0.2428	42.16	0.29	1.23	2.96	6.6
50	-6	0.2526	43.01	0	1.1	2.84	6.5
55	-6	0.259	43.86	0	0.99	2.73	6.42
60	-6	0.2653	44.71	0	0.89	2.63	6.34
5	-4	0.1119	24.11	65.47	3.55	5.09	8.08
6	-4	0.1273	27.23	57.73	3.33	4.9	7.96
7	-4	0.1354	28.69	51.98	3.18	4.76	7.88
8	-4	0.139	29.31	49.38	3.11	4.69	7.83
9	-4	0.1426	29.89	46.83	3.04	4.63	7.78
10	-4	0.1456	30.34	44.66	2.98	4.57	7.74
12	-4	0.1531	31.42	39.58	2.83	4.43	7.62
14	-4	0.1593	32.27	35.28	2.7	4.3	7.52
16	-4	0.1658	33.15	30.96	2.56	4.17	7.4
18	-4	0.1724	34.06	26.7	2.4	4.02	7.28
20	-4	0.1784	34.83	23.05	2.27	3.89	7.17
25	-4	0.1939	36.82	14.52	1.92	3.55	6.88
30	-4	0.2083	38.56	7.77	1.63	3.26	6.64
35	-4	0.2221	40.18	2.68	1.38	3	6.43
40	-4	0.2368	41.5	0.5	1.18	2.8	6.27
45	-4	0.2486	42.54	0	1.04	2.65	6.15
50	-4	0.2562	43.45	0	0.92	2.53	6.05
55	-4	0.2629	44.32	0	0.81	2.42	5.97
60	-4	0.2693	45.17	0	0.72	2.33	5.9
5	-2	0.1088	23.47	64.26	3.47	4.9	7.75
6	-2	0.1238	26.56	58.19	3.26	4.74	7.63
7	-2	0.1365	28.87	49.29	3.03	4.51	7.49
8	-2	0.141	29.63	46.08	2.94	4.42	7.43
9	-2	0.1448	30.2	43.46	2.87	4.35	7.37
10	-2	0.1485	30.75	40.91	2.79	4.28	7.31
12	-2	0.1558	31.77	35.98	2.63	4.13	7.19
14	-2	0.1624	32.66	31.54	2.49	3.99	7.07
16	-2	0.1693	33.58	27.16	2.33	3.84	6.94
18	-2	0.176	34.46	23.06	2.18	3.69	6.82
20	-2	0.1826	35.32	19.24	2.03	3.54	6.69
25	-2	0.1986	37.34	10.98	1.68	3.2	6.4
30	-2	0.2138	39.06	4.37	1.39	2.91	6.15
35	-2	0.228	40.7	1.01	1.16	2.67	5.96
40	-2	0.2428	42.03	0	0.98	2.48	5.81
45	-2	0.2532	42.97	0	0.85	2.34	5.7
50	-2	0.2603	43.92	0	0.73	2.22	5.61
55	-2	0.2672	44.83	0	0.63	2.12	5.53
60	-2	0.2741	45.74	0	0.54	2.03	5.46
5	0	0.1085	23.42	62.32	3.36	4.7	7.41
6	0	0.1239	26.58	56.13	3.14	4.53	7.27
7	0	0.1373	29.01	46.77	2.88	4.27	7.1
8	0	0.1432	29.95	42.72	2.76	4.15	7.01
9	0	0.1473	30.54	39.95	2.68	4.07	6.95
10	0	0.1513	31.12	37.29	2.59	3.99	6.88
12	0	0.1586	32.1	32.45	2.43	3.83	6.75
14	0	0.1659	33.1	27.69	2.27	3.67	6.61
16	0	0.1734	34.1	23.09	2.09	3.5	6.47
18	0	0.1802	34.97	19.14	1.94	3.35	6.33
20	0	0.1871	35.85	15.36	1.78	3.19	6.2
25	0	0.2039	37.89	7.37	1.44	2.84	5.91
30	0	0.2197	39.72	1.91	1.15	2.55	5.66
35	0	0.235	41.18	0.15	0.95	2.34	5.49
40	0	0.2492	42.46	0	0.78	2.16	5.35
45	0	0.2574	43.48	0	0.66	2.03	5.25
50	0	0.2648	44.45	0	0.55	1.92	5.16
55	0	0.272	45.39	0	0.46	1.82	5.09
60	0	0.279	46.31	0	0.38	1.73	5.02
5	2	0.1083	23.37	60.39	3.25	4.5	7.06
6	2	0.124	26.6	54.08	3.02	4.31	6.91
7	2	0.138	29.12	44.3	2.74	4.02	6.72
8	2	0.1458	30.3	39.17	2.58	3.87	6.59
9	2	0.1498	30.86	36.53	2.49	3.78	6.52
10	2	0.1545	31.52	33.47	2.39	3.68	6.44
12	2	0.162	32.54	28.55	2.22	3.51	6.29
